Sale_ID,Date,Product_ID,Customer_ID,Region,Salesperson_ID,Quantity,Unit_Price,Discount
SAL00001,2024-08-08,P015,C0653,West,S010,1,7.55,0.0
SAL00002,2024-12-23,P020,C0893,North,S001,4,141.44,0.05
SAL00003,2024-09-28,P010,C0859,South,S003,3,88.9,0.05
SAL00004,2025-05-14,P009,C0562,North,S006,5,48.64,0.0
SAL00005,2024-11-11,P002,C0099,North,S002,5,89.34,0.0
SAL00006,2025-01-18,P017,C0907,North,S009,9,80.79,0.0
SAL00007,2025-04-20,P006,C0413,East,S005,6,90.0,0.0
SAL00008,2024-09-26,P010,C0651,South,S007,3,79.59,0.0
SAL00009,2025-01-03,P004,C0331,North,S001,8,44.73,0.0
SAL00010,2025-03-25,P010,C0162,West,S007,1,80.84,0.0
SAL00011,2024-11-04,P010,C0516,East,S010,6,96.41,0.0
SAL00012,2024-08-26,P003,C0748,South,S002,10,102.51,0.0
SAL00013,2025-03-15,P020,C0002,North,S007,10,113.47,0.0
SAL00014,2025-03-04,P016,C0919,South,S009,8,76.31,0.15
SAL00015,2024-11-15,P008,C0781,South,S001,7,105.34,0.0
SAL00016,2024-09-12,P020,C0411,East,S004,5,121.4,0.1
SAL00017,2024-09-13,P010,C0453,South,S003,4,96.07,0.05
SAL00018,2025-06-16,P006,C0234,South,S002,2,94.31,0.05
SAL00019,2024-09-28,P020,C0991,North,S002,6,123.16,0.0
SAL00020,2025-06-03,P010,C0562,North,S001,10,90.23,0.0
SAL00021,2024-12-21,P010,C0868,East,S008,3,81.89,0.05
SAL00022,2024-08-11,P007,C0548,South,S001,3,7.9,0.0
SAL00023,2025-01-04,P013,C0349,East,S007,3,97.2,0.0
SAL00024,2024-11-22,P013,C0907,West,S006,4,109.25,0.1
SAL00025,2025-03-07,P011,C0995,South,S009,5,43.31,0.1
SAL00026,2025-07-08,P005,C0202,North,S001,6,37.59,0.1
SAL00027,2025-05-14,P005,C0489,North,S008,5,38.76,0.1
SAL00028,2024-08-30,P010,C0218,West,S009,10,85.3,0.15
SAL00029,2024-12-28,P013,C0243,East,S004,7,106.97,0.1
SAL00030,2024-11-24,P014,C0662,West,S002,5,73.48,0.05
SAL00031,2025-02-20,P017,C0879,West,S007,8,85.39,0.0
SAL00032,2025-02-14,P014,C0066,East,S001,6,80.57,0.1
SAL00033,2025-05-31,P006,C0935,North,S007,3,96.85,0.0
SAL00034,2024-08-04,P020,C0196,West,S008,6,128.05,0.05
SAL00035,2024-11-14,P006,C0859,North,S003,5,110.99,0.0
SAL00036,2024-10-03,P006,C0012,North,S010,5,118.42,0.0
SAL00037,2024-08-07,P007,C0168,West,S007,3,8.17,0.0
SAL00038,2025-05-22,P019,C0776,East,S010,7,22.94,0.0
SAL00039,2025-02-07,P015,C0949,North,S007,3,6.43,0.1
SAL00040,2024-07-30,P006,C0424,North,S003,9,120.76,0.05
SAL00041,2025-02-27,P005,C0995,West,S005,9,29.21,0.1
SAL00042,2025-07-17,P020,C0416,East,S006,7,106.35,0.0
SAL00043,2025-05-23,P019,C0972,East,S007,6,21.41,0.1
SAL00044,2025-07-17,P002,C0887,South,S010,3,85.38,0.0
SAL00045,2024-12-07,P020,C0851,East,S005,1,134.34,0.05
SAL00046,2024-11-15,P009,C0438,South,S001,2,43.16,0.0
SAL00047,2025-03-03,P012,C0513,North,S002,1,103.54,0.0
SAL00048,2025-02-02,P017,C0903,North,S004,8,79.82,0.0
SAL00049,2025-01-27,P017,C0357,West,S009,6,84.07,0.0
SAL00050,2024-08-02,P018,C0327,South,S003,9,116.47,0.0
SAL00051,2024-08-24,P015,C0876,West,S002,9,6.9,0.05
SAL00052,2025-02-04,P015,C0629,South,S002,1,8.4,0.0
SAL00053,2025-07-12,P011,C0741,East,S003,7,39.17,0.05
SAL00054,2024-11-15,P017,C0016,North,S005,10,64.62,0.0
SAL00055,2025-05-31,P005,C0726,West,S002,10,34.05,0.0
SAL00056,2025-02-21,P006,C0271,North,S008,6,114.11,0.05
SAL00057,2025-03-24,P020,C0265,West,S002,3,130.83,0.0
SAL00058,2025-03-07,P016,C0787,North,S003,2,68.47,0.1
SAL00059,2024-08-13,P011,C0848,South,S004,7,49.24,0.0
SAL00060,2024-11-10,P005,C0250,West,S007,9,34.7,0.0
SAL00061,2025-01-31,P004,C0156,East,S005,7,41.07,0.1
SAL00062,2025-01-12,P013,C0955,South,S003,5,107.13,0.1
SAL00063,2024-09-29,P010,C0540,East,S004,7,78.23,0.05
SAL00064,2025-06-23,P001,C0292,North,S008,9,80.53,0.1
SAL00065,2025-04-29,P004,C0139,North,S006,9,45.67,0.15
SAL00066,2024-10-28,P004,C0202,North,S009,8,38.77,0.05
SAL00067,2024-07-30,P018,C0911,West,S008,5,122.47,0.0
SAL00068,2025-02-03,P009,C0080,East,S008,9,54.88,0.0
SAL00069,2025-07-18,P015,C0547,East,S010,10,6.33,0.0
SAL00070,2025-06-21,P003,C0379,East,S001,3,104.13,0.0
SAL00071,2025-06-05,P014,C0140,East,S006,9,69.16,0.1
SAL00072,2025-06-09,P010,C0156,South,S010,6,95.46,0.1
SAL00073,2024-08-12,P012,C0571,North,S004,8,120.14,0.15
SAL00074,2025-07-21,P002,C0735,West,S001,1,107.08,0.0
SAL00075,2025-05-28,P014,C0902,South,S001,5,65.27,0.1
SAL00076,2024-12-05,P007,C0585,East,S008,2,8.78,0.15
SAL00077,2025-04-07,P020,C0122,North,S004,7,114.02,0.0
SAL00078,2025-01-13,P006,C0438,West,S003,3,97.22,0.0
SAL00079,2025-07-20,P016,C0982,South,S009,6,73.01,0.05
SAL00080,2024-09-23,P006,C0719,East,S008,5,91.39,0.0
SAL00081,2024-09-08,P019,C0235,South,S005,4,24.63,0.0
SAL00082,2024-09-02,P010,C0441,South,S003,5,87.65,0.0
SAL00083,2025-06-14,P017,C0237,West,S001,9,83.51,0.1
SAL00084,2024-10-02,P006,C0731,North,S009,7,103.58,0.1
SAL00085,2025-06-08,P005,C0343,South,S005,8,38.49,0.0
SAL00086,2025-07-13,P011,C0237,North,S009,2,42.91,0.0
SAL00087,2025-07-14,P020,C0833,South,S007,1,131.59,0.05
SAL00088,2025-03-24,P018,C0194,North,S007,10,97.05,0.0
SAL00089,2025-01-02,P006,C0653,North,S002,5,114.07,0.1
SAL00090,2024-09-16,P014,C0092,East,S007,2,70.28,0.05
SAL00091,2025-07-10,P020,C0484,North,S003,6,117.05,0.1
SAL00092,2024-08-14,P007,C0735,West,S002,10,7.38,0.05
SAL00093,2024-12-31,P015,C0744,West,S009,5,7.13,0.0
SAL00094,2025-07-08,P006,C0241,West,S007,4,89.48,0.0
SAL00095,2024-12-31,P007,C0955,South,S004,10,7.46,0.15
SAL00096,2024-10-29,P003,C0265,South,S005,4,119.58,0.0
SAL00097,2025-03-30,P010,C0601,East,S005,7,99.14,0.05
SAL00098,2024-09-27,P005,C0753,South,S001,6,38.22,0.1
SAL00099,2024-12-13,P007,C0772,South,S005,7,8.04,0.05
SAL00100,2024-10-04,P004,C0992,West,S002,4,45.88,0.0
SAL00101,2025-07-08,P010,C0313,West,S002,7,93.48,0.0
SAL00102,2024-08-26,P015,C0603,East,S005,4,6.33,0.0
SAL00103,2025-03-28,P011,C0905,South,S005,10,43.35,0.05
SAL00104,2024-08-18,P004,C0071,South,S006,9,45.17,0.0
SAL00105,2024-09-13,P018,C0214,South,S005,9,113.26,0.0
SAL00106,2025-03-14,P001,C0165,West,S010,6,73.4,0.1
